datetime,open,high,low,close,vol
2015-01-05 10:00:00.000000,78450,78450,78150,78150,5
2015-01-05 10:00:00.001000,78150,78150,77800,77800,28
2015-01-05 10:00:00.002000,77800,77800,77500,77500,17
2015-01-05 10:00:00.003000,77500,77500,77140,77140,12
2015-01-05 10:00:00.004000,77140,77140,76800,76800,40
2015-01-05 10:00:00.005000,76800,76800,76500,76500,37
2015-01-05 10:00:00.006000,76500,76500,76200,76200,10
2015-01-05 10:00:00.007000,76200,76200,75900,75900,208
2015-01-05 10:00:00.008000,75900,75900,75600,75600,211
2015-01-05 10:00:00.009000,75600,75600,75300,75300,19
2015-01-05 10:00:00.010000,75300,75490,75190,75190,28
2015-01-05 10:00:00.011000,75190,75280,74960,74960,56
2015-01-05 10:00:00.012000,74960,74960,74620,74620,11
2015-01-05 10:00:00.013000,74620,75260,74610,75260,15
2015-01-05 10:00:00.014000,75260,75280,74660,74660,36
2015-01-05 10:00:00.015000,74660,75010,74610,75010,65
2015-01-05 10:00:00.016000,75010,75280,74780,74780,109
2015-01-05 10:00:01.000000,74780,75250,74610,75250,8
2015-01-05 10:00:01.001000,75250,75260,74640,74640,4
2015-01-05 10:00:01.002000,74640,75260,74610,75260,4
2015-01-05 10:00:01.003000,75260,75480,74610,74610,11
2015-01-05 10:00:01.004000,74610,75500,74610,75500,4
2015-01-05 10:00:01.005000,75500,75500,74620,74620,11
2015-01-05 10:00:01.006000,74620,75490,74620,75490,1
2015-01-05 10:00:01.007000,75490,75490,74620,74620,3
2015-01-05 10:00:01.008000,74620,75450,74610,75450,3
2015-01-05 10:00:01.009000,75450,75450,74620,74620,1
2015-01-05 10:00:01.010000,74620,75350,74620,75350,2
2015-01-05 10:00:01.011000,75350,75440,74620,74620,14
2015-01-05 10:00:01.012000,74620,75410,74620,75410,4
2015-01-05 10:00:01.013000,75410,75420,74710,74710,14
2015-01-05 10:00:01.014000,74710,75250,74710,75250,6
2015-01-05 10:00:01.015000,75250,75250,74750,74750,9
2015-01-05 10:00:01.016000,74750,75240,74750,75240,1
2015-01-05 10:00:01.017000,75240,75240,74870,74870,1
2015-01-05 10:00:01.018000,74870,74970,74650,74970,9
2015-01-05 10:00:01.019000,74970,75210,74820,74820,8
2015-01-05 10:00:01.020000,74820,75210,74820,75210,1
2015-01-05 10:00:01.021000,75210,75500,74820,74820,15
2015-01-05 10:00:01.022000,74820,74950,74610,74950,14
2015-01-05 10:00:01.023000,74950,74950,74630,74630,1
2015-01-05 10:00:01.024000,74630,74970,74630,74970,1
2015-01-05 10:00:01.025000,74970,75420,74970,75420,7
2015-01-05 10:00:01.026000,75420,75500,74680,74680,22
2015-01-05 10:00:01.027000,74680,75200,74680,75200,5
2015-01-05 10:00:01.028000,75200,75210,74840,74840,5
2015-01-05 10:00:01.029000,74840,75380,74840,75380,11
2015-01-05 10:00:01.030000,75380,75380,74880,74880,1
2015-01-05 10:00:01.031000,74880,75380,74880,75380,3
2015-01-05 10:00:01.032000,75380,75490,74890,74890,11
2015-01-05 10:00:01.033000,74890,75360,74890,75360,3
2015-01-05 10:00:01.034000,75360,75500,74920,74920,14
2015-01-05 10:00:01.035000,74920,74970,74620,74620,14
2015-01-05 10:00:02.000000,74620,74930,74620,74930,13
2015-01-05 10:00:02.001000,74930,74930,74620,74620,23
2015-01-05 10:00:02.002000,74620,74920,74580,74920,146
2015-01-05 10:00:03.000000,74920,75260,74920,75260,5
2015-01-05 10:00:03.001000,75260,75320,74760,74760,18
2015-01-05 10:00:03.002000,74760,75260,74620,75260,37
2015-01-05 10:00:03.003000,75260,75450,74800,74800,6
2015-01-05 10:00:03.004000,74800,75370,74620,75370,9
2015-01-05 10:00:03.005000,75370,75370,74910,74910,2
2015-01-05 10:00:03.006000,74910,75190,74730,74730,33
2015-01-05 10:00:03.007000,74730,75110,74730,75110,165
2015-01-05 10:00:05.000000,75110,75300,74810,74810,228
2015-01-05 10:00:05.001000,74810,75210,74730,75210,69
2015-01-05 10:00:05.002000,75210,75270,74830,74830,5
2015-01-05 10:00:05.003000,74830,75150,74740,75150,48
2015-01-05 10:00:05.004000,75150,75190,74840,74840,73
2015-01-05 10:00:06.000000,74840,74840,74530,74530,57
2015-01-05 10:00:06.001000,74530,74870,74530,74870,640
2015-01-05 10:00:10.000000,74870,75000,74700,74700,73
2015-01-05 10:00:10.001000,74700,74920,74610,74920,125
2015-01-05 10:00:12.000000,74920,75070,74760,74760,143
2015-01-05 10:00:15.000000,74760,74880,74580,74580,316
2015-01-05 10:00:16.000000,74580,74820,74520,74820,333
2015-01-05 10:00:17.000000,74820,74870,74540,74540,196
